hour,total_sales_transformed
2021-01-01,13.570794156142709
2021-01-02,17.754994278434538
2021-01-03,18.498781734077767
2021-01-04,17.78323520531423
2021-01-05,16.579767208673886
2021-01-06,17.452971378063545
2021-01-07,16.73994591015139
2021-01-08,15.408847186466897
2021-01-09,16.33146181495168
2021-01-10,17.116473751191847
2021-01-11,17.317490973329914
2021-01-12,16.35381766757667
2021-01-13,16.481743920760493
2021-01-14,16.5657110235149
2021-01-15,16.751383543962294
2021-01-16,17.71491907189905
2021-01-17,19.609902637547044
2021-01-18,20.097842504052405
2021-01-19,21.91150092332894
2021-01-20,21.55652843285602
2021-01-21,21.72574640121634
2021-01-22,21.647593038386802
2021-01-23,21.519702184180442
2021-01-24,21.26339267086666
2021-01-25,20.214702414547684
2021-01-26,19.77751841051726
2021-01-27,20.043995627050766
2021-01-28,21.181566587446945
2021-01-29,21.341489323451466
2021-01-30,20.922599904205413
2021-01-31,21.81135644213503
2021-02-01,22.98061322183012
2021-02-02,23.135472440270945
2021-02-03,23.8460096367125
2021-02-04,22.822209526943563
2021-02-05,22.288600105785306
2021-02-06,21.761673667419643
2021-02-07,21.39338913217665
2021-02-08,16.854835161454993
2021-02-09,15.804778824293242
2021-02-10,15.030908140820294
2021-02-11,15.949328086047343
2021-02-12,15.082124980546094
2021-02-13,16.111638660774926
2021-02-14,15.39455678605847
2021-02-15,16.30145365499395
2021-02-16,16.132931131025313
2021-02-17,15.667883785454164
2021-02-18,15.832088122775172
2021-02-19,16.43252971707749
2021-02-20,15.110046227767327
2021-02-21,16.142357016749898
2021-02-22,14.78949204295829
2021-02-23,14.792862776567551
2021-02-24,14.903478348292094
2021-02-25,16.094202235350867
2021-02-26,12.662010486474676
2021-02-27,14.30426172846396
2021-02-28,14.506739074707246
2021-03-01,13.940311655404813
2021-03-02,14.774849439876297
2021-03-03,15.207652498146956
2021-03-04,13.420123904919002
2021-03-05,13.647602790958562
2021-03-06,14.398172483836268
2021-03-07,15.161203008588721
2021-03-08,13.862490612792557
2021-03-09,15.199615915240258
2021-03-10,14.61684687561154
2021-03-11,13.722742206798744
2021-03-12,12.476231897102021
2021-03-13,14.36292806168974
2021-03-14,17.666418262154483
2021-03-15,17.05092852117818
2021-03-16,16.473103722551116
2021-03-17,15.365811570086363
2021-03-18,15.378294904731447
2021-03-19,16.579767208673886
2021-03-20,15.47482613629312
2021-03-21,16.304464869571827
2021-03-22,15.072770871736829
2021-03-23,16.15801607470602
2021-03-24,15.303740768622665
2021-03-25,15.093525745401436
2021-03-26,14.206490648115036
2021-03-27,15.344590681953962
2021-03-28,17.31164974163254
2021-03-29,15.430654011084103
2021-03-30,16.409154903766364
2021-03-31,15.547925109256168
2021-04-01,16.19301958773366
2021-04-02,15.34942418387307
2021-04-03,15.141846485269545
2021-04-04,16.270453960516516
2021-04-05,15.848211210510808
2021-04-06,15.184500337111213
2021-04-07,14.693822977555694
2021-04-08,15.281179881546063
2021-04-09,14.169288884375856
2021-04-10,15.407896184391927
2021-04-11,15.769500961924445
2021-04-12,15.535073714384852
2021-04-13,15.91369848625047
2021-04-14,15.264416348497582
2021-04-15,15.425924156891796
2021-04-16,15.438209414204705
2021-04-17,15.453274809770933
2021-04-18,15.335874615032344
2021-04-19,14.626264832343344
2021-04-20,15.697950371772636
2021-04-21,14.224946368797228
2021-04-22,14.901298465757703
2021-04-23,14.987500164460696
2021-04-24,15.695306986376776
2021-04-25,16.27500592194273
2021-04-26,15.351355838371136
2021-04-27,15.245591018322171
2021-04-28,13.890069839903125
2021-04-29,15.5825886860078
2021-04-30,15.304718591683281
2021-05-01,18.638093124514125
2021-05-02,14.625088926343508
2021-05-03,15.68736578236283
2021-05-04,15.997684008427093
2021-05-05,16.199209536011338
2021-05-06,15.045614136812446
2021-05-07,15.308627326642709
2021-05-08,15.012971699114347
2021-05-09,15.111076314305608
2021-05-10,13.927460989180803
2021-05-11,15.11313562822517
2021-05-12,15.657214960939859
2021-05-13,15.721658520044627
2021-05-14,16.05267360588107
2021-05-15,15.297868448777052
2021-05-16,14.95755895901022
2021-05-17,15.460784933332485
2021-05-18,14.555025131359555
2021-05-19,14.257666599398233
2021-05-20,14.249841143953825
2021-05-21,14.980037667430716
2021-05-22,13.66152670379
2021-05-23,16.069498540511308
2021-05-24,14.231514539556887
2021-05-25,13.062418993954582
2021-05-26,14.297826486972754
2021-05-27,16.14078762688646
2021-05-28,13.47271746002301
2021-05-29,12.826029933074729
2021-05-30,13.24337168058218
2021-05-31,12.828004935841925
2021-06-01,15.953449701064848
2021-06-02,14.699588511197174
2021-06-03,15.2316586078673
2021-06-04,15.43159926773108
2021-06-05,16.04865684224253
2021-06-06,20.6326911637694
2021-06-07,17.83348691816933
2021-06-08,17.536807960066536
2021-06-09,13.095387376294179
2021-06-10,12.974776390056956
2021-06-11,11.882054597534738
2021-06-12,14.359131209043394
2021-06-13,14.064921998077779
2021-06-14,13.255561205728219
2021-06-15,13.715149126490138
2021-06-16,14.299114464323896
2021-06-17,13.298741262147209
2021-06-18,12.603360610904613
2021-06-19,12.890593220289995
2021-06-20,13.376787987686049
2021-06-21,13.327793415009195
2021-06-22,15.28019587366278
2021-06-23,14.195901306808615
2021-06-24,12.4652274523296
2021-06-25,13.7903432228349
2021-06-26,13.61332855036712
2021-06-27,12.925288835053113
2021-06-28,13.1550034473215
2021-06-29,13.309023321282018
2021-06-30,13.56444788573812
2021-07-01,11.980958116348367
2021-07-02,14.271968749233706
2021-07-03,12.701221612717953
2021-07-04,14.077280989706594
2021-07-05,14.05665855175068
2021-07-06,15.10282758705623
2021-07-07,15.520332623722597
2021-07-08,14.960778624252601
2021-07-09,13.618022384568988
2021-07-10,15.364849588600544
2021-07-11,15.1479699892505
2021-07-12,14.445456550309538
2021-07-13,14.781614868191532
2021-07-14,14.788367772890071
2021-07-15,15.104891492375085
2021-07-16,14.962923503015771
2021-07-17,14.352794151458623
2021-07-18,15.31838131368018
2021-07-19,15.460784933332485
2021-07-20,14.962923503015771
2021-07-21,14.820831864849719
2021-07-22,14.003868534354753
2021-07-23,14.45409924067643
2021-07-24,14.31453403480881
2021-07-25,14.415665523843069
2021-07-26,13.484115464904894
2021-07-27,13.846423637291446
2021-07-28,12.719633822966038
2021-07-29,14.352794151458623
2021-07-30,13.2258816791279
2021-07-31,14.633312263132844
2021-08-01,14.33499040317949
2021-08-02,15.074851608615285
2021-08-03,13.722742206798744
2021-08-04,13.74692904893542
2021-08-05,12.98985710913152
2021-08-06,13.911690356187133
2021-08-07,13.833222709090885
2021-08-08,14.452865842886654
2021-08-09,12.222699749136824
2021-08-10,13.770948678795506
2021-08-11,11.248235740291179
2021-08-12,13.63673418498326
2021-08-13,12.707370436568853
2021-08-14,12.707370436568853
2021-08-15,17.4698763349688
2021-08-16,13.438294217203984
2021-08-17,12.420834109193205
2021-08-18,11.192620630043082
2021-08-19,12.225074895512964
2021-08-20,11.576898403058303
2021-08-21,11.526961296923629
2021-08-22,12.880891087683812
2021-08-23,11.785413516436217
2021-08-24,11.274061134924647
2021-08-25,12.074388710099363
2021-08-26,11.988636553449032
2021-08-27,10.285782574928424
2021-08-28,11.657440066553796
2021-08-29,11.309218879897196
2021-08-30,11.646060682906658
2021-08-31,12.953928740006452
2021-09-01,13.259035895351085
2021-09-02,13.516474116881739
2021-09-03,12.302488731241462
2021-09-04,15.928653442944311
2021-09-05,14.810787648433095
2021-09-06,15.31155619677088
2021-09-07,14.558620664535365
2021-09-08,15.204640814412965
2021-09-09,18.52770797246114
2021-09-10,13.633622581276011
2021-09-11,12.03684100244089
2021-09-12,12.861401567879536
2021-09-13,13.075278474134652
2021-09-14,12.524215391218545
2021-09-15,12.713507824649557
2021-09-16,12.398408173435403
2021-09-17,11.986079134679118
2021-09-18,12.991737429727305
2021-09-19,10.706496073656638
2021-09-20,13.693799637010056
2021-09-21,15.337813274220993
2021-09-22,15.100762530417564
2021-09-23,15.087311502383258
2021-09-24,13.690738947918936
2021-09-25,13.518084073040605
2021-09-26,14.238070599842887
2021-09-27,13.232888517039848
2021-09-28,13.398524667913318
2021-09-29,12.843762816438966
2021-09-30,13.73938874141893
2021-10-01,13.187082661668187
2021-10-02,13.569208684416248
2021-10-03,14.778233722632299
2021-10-04,14.143820700915754
2021-10-05,14.438031941159451
2021-10-06,15.187528374758779
2021-10-07,15.80392225582623
2021-10-08,15.461722645379687
2021-10-09,15.006620302273168
2021-10-10,16.292406045862823
2021-10-11,13.817020110577998
2021-10-12,12.659933758142516
2021-10-13,14.452865842886654
2021-10-14,13.049510101769549
2021-10-15,13.40684822921366
2021-10-16,12.699169455492513
2021-10-17,12.786280957922552
2021-10-18,12.76622626146215
2021-10-19,14.365457060055233
2021-10-20,12.128672511166824
2021-10-21,12.746049310296883
2021-10-22,13.339684350577345
2021-10-23,12.051913154419756
2021-10-24,12.353086197413642
2021-10-25,12.984209801226104
2021-10-26,12.668232823925399
2021-10-27,12.51988226690847
2021-10-28,12.330185363271616
2021-10-29,13.160371188491801
2021-10-30,13.138848802482974
2021-10-31,13.400191003247357
2021-11-01,13.09903066139753
2021-11-02,13.239880894412487
2021-11-03,13.951695069716797
2021-11-04,13.88717698556109
2021-11-05,14.092327896480038
2021-11-06,14.455332215220084
2021-11-07,14.093692623428709
2021-11-08,12.577900756583011
2021-11-09,13.129840452506905
2021-11-10,14.601490244461596
2021-11-11,19.944794985743524
2021-11-12,13.618022384568988
2021-11-13,11.774490290788144
2021-11-14,13.836160567137386
2021-11-15,14.112743662982233
2021-11-16,14.255060025333718
2021-11-17,12.45639706808389
2021-11-18,13.459644597354153
2021-11-19,12.7902773675335
2021-11-20,12.353086197413642
2021-11-21,12.04940607078418
2021-11-22,12.666160017580381
2021-11-23,12.416361283107296
2021-11-24,11.162761195005476
2021-11-25,12.55438757929315
2021-11-26,12.179644431342448
2021-11-27,12.034322035051405
2021-11-28,12.7500945585338
2021-11-29,12.577900756583011
2021-11-30,12.645359853633101
2021-12-01,14.85742636174334
2021-12-02,16.243794344629155
2021-12-03,14.9457293413828
2021-12-04,16.07668685790931
2021-12-05,15.749567156751727
2021-12-06,15.607026412608247
2021-12-07,14.426866158220976
2021-12-08,15.521255631190746
2021-12-09,15.14490950099683
2021-12-10,15.787610842153065
2021-12-11,18.4022697020356
2021-12-12,20.634051950430003
2021-12-13,14.142475184527154
2021-12-14,12.772255433969583
2021-12-15,13.977173550692443
2021-12-16,12.70327249416103
2021-12-17,11.929288520863615
2021-12-18,11.562294159242093
2021-12-19,12.198851349801195
2021-12-20,11.105546908376333
2021-12-21,9.81444552317222
2021-12-22,10.92710849652099
2021-12-23,9.908013802999788
2021-12-24,16.81800668577996
2021-12-25,17.615170717715483
2021-12-26,17.30931090118316
2021-12-27,17.663736821821146
2021-12-28,17.41553298803782
2021-12-29,17.24743051388442
2021-12-30,16.664444414915554
2021-12-31,17.018380328285648
2022-01-01,17.440529921355957
2022-01-02,16.66100939769615
2022-01-03,15.470151553916454
2022-01-04,14.802956341945348
2022-01-05,14.70534491262649
2022-01-06,12.676511029412621
2022-01-07,13.699912917983808
2022-01-08,17.136664020823524
2022-01-09,19.72001359835512
2022-01-10,18.775914291582865
2022-01-11,18.417984744687548
2022-01-12,18.05754079033428
2022-01-13,19.068819512185453
2022-01-14,17.86068965974017
2022-01-15,18.226391292234897
2022-01-16,18.78990922187876
2022-01-17,17.019637060615704
2022-01-18,17.882629982190494
2022-01-19,17.174326801174452
2022-01-20,17.194832792199687
2022-01-21,15.959212549170005
2022-01-22,16.215411399111048
2022-01-23,15.034064362195606
2022-01-24,14.565801007678235
2022-01-25,11.95522846663942
2022-01-26,10.334656755590963
2022-01-27,8.742670003628177
2022-01-28,8.695241755016616
2022-01-29,9.717659171092091
2022-01-30,9.963706890630167
2022-01-31,7.951836354979961
2022-02-01,10.64769741942745
2022-02-02,8.262334462019336
2022-02-03,9.97870808912693
2022-02-04,7.418580746620738
2022-02-05,10.008475087427156
2022-02-06,9.712182910562595
2022-02-07,7.22563086300869
2022-02-08,0.0
2022-02-09,7.509549168655135
2022-02-10,7.962473115401763
2022-02-11,8.975021723327398
2022-02-12,9.114857123916519
2022-02-13,9.4838038704484
2022-02-14,10.45547654449989
2022-02-15,10.595774630333587
2022-02-16,9.318233506899341
2022-02-17,6.767585226670241
2022-02-18,7.509549168655135
2022-02-19,6.952035458041246
2022-02-20,6.952035458041246
2022-02-21,7.908830932884499
2022-02-22,9.963706890630167
2022-02-23,11.012395906865653
2022-02-24,11.215643907459167
2022-02-25,12.089285009591709
2022-02-26,13.428395103559946
2022-02-27,13.344767783913518
2022-02-28,11.50318051160839
2022-03-01,11.660278446258777
2022-03-02,13.809630328669334
2022-03-03,12.471834575326483
2022-03-04,11.14604507469109
2022-03-05,10.912655606170423
2022-03-06,13.702965520173253
2022-03-07,12.056921418570024
2022-03-08,12.504670924880143
2022-03-09,11.975828832933319
2022-03-10,11.309218879897196
2022-03-11,12.400657744429141
2022-03-12,13.309023321282018
2022-03-13,13.900176035829555
2022-03-14,10.912655606170423
2022-03-15,12.861401567879536
2022-03-16,10.876215540006566
2022-03-17,10.767955199934187
2022-03-18,10.85413666175955
2022-03-19,10.912655606170423
2022-03-20,11.769014412285953
2022-03-21,11.41540995209631
2022-03-22,10.105511874684929
2022-03-23,11.660278446258777
2022-03-24,14.747661476574715
2022-03-25,13.892960304110801
2022-03-26,12.14575333471041
2022-03-27,14.696130288887753
2022-03-28,12.609694828815782
2022-03-29,10.347844348076574
2022-03-30,13.578710588767223
2022-03-31,15.438209414204705
2022-04-01,11.541732220076973
2022-04-02,12.355367401557976
2022-04-03,11.769014412285953
2022-04-04,10.526464116546492
2022-04-05,12.084327288963976
2022-04-06,11.817957495988354
2022-04-07,11.771753544083364
2022-04-08,10.567432603198162
2022-04-09,10.236068688378671
2022-04-10,11.646060682906658
2022-04-11,10.575558215268291
2022-04-12,9.017742590776871
2022-04-13,10.047686491549385
2022-04-14,10.575558215268291
2022-04-15,9.948626022096898
2022-04-16,7.951836354979961
2022-04-17,8.195474024641625
2022-04-18,8.796945174470535
2022-04-19,7.40530118214977
2022-04-20,7.483905052369986
2022-04-21,8.8198689364042
2022-04-22,12.325585694333562
2022-04-23,14.32605515591204
2022-04-24,14.052519556213623
2022-04-25,13.92603022494414
2022-04-26,12.051913154419756
2022-04-27,13.086261867347154
2022-04-28,12.597014146337457
2022-04-29,11.162761195005476
2022-04-30,12.680642344998956
2022-05-01,12.808201821964612
2022-05-02,11.747014950526069
2022-05-03,10.595774630333587
2022-05-04,11.60012351271983
2022-05-05,10.861514413723778
2022-05-06,10.595774630333587
2022-05-07,11.01589765492243
2022-05-08,11.518064866384668
2022-05-09,11.05069346067209
2022-05-10,10.285782574928424
2022-05-11,9.4838038704484
2022-05-12,14.429350446886385
2022-05-13,14.56938583303007
2022-05-14,14.940339631693991
2022-05-15,13.12261639945542
2022-05-16,14.328610365118285
2022-05-17,13.497095550884389
2022-05-18,13.176423402626087
2022-05-19,13.18175723459503
2022-05-20,11.86083317890283
2022-05-21,11.654599105468472
2022-05-22,13.778420916070411
2022-05-23,12.760186086254127
2022-05-24,11.547620963496232
2022-05-25,14.150540625088261
2022-05-26,13.069773292492492
2022-05-27,13.619585578971881
2022-05-28,12.997372063401627
2022-05-29,13.680005192510661
2022-05-30,14.145165706226
2022-05-31,13.290149057927914
2022-06-01,16.134503704935348
2022-06-02,14.439270442582744
2022-06-03,13.782896568192255
2022-06-04,14.712240583878694
2022-06-05,14.827512704751394
2022-06-06,17.05715774377186
2022-06-07,14.220999633109033
2022-06-08,13.415151566186857
2022-06-09,13.526122559126328
2022-06-10,12.997372063401627
2022-06-11,14.084128442498102
2022-06-12,14.175960731520533
2022-06-13,14.32221891112583
2022-06-14,13.278083349802687
2022-06-15,12.686829624046569
2022-06-16,15.912033222262478
2022-06-17,15.293948432969339
2022-06-18,15.507386743171523
2022-06-19,16.81932785598681
2022-06-20,16.132144604671396
2022-06-21,15.266392443614576
2022-06-22,14.50916880096339
2022-06-23,15.053991337504456
2022-06-24,14.626264832343344
2022-06-25,15.478561627067535
2022-06-26,14.682264387610267
2022-06-27,15.360035971754263
2022-06-28,14.38311018788831
2022-06-29,16.075090609059895
2022-06-30,16.107682729580844
2022-07-01,15.301784354300363
2022-07-02,15.87773501730428
2022-07-03,14.78949204295829
2022-07-04,15.208655851048858
2022-07-05,13.90449834495721
2022-07-06,14.222315698684456
2022-07-07,15.271328105460633
2022-07-08,11.668778147806938
2022-07-09,15.05921745584808
2022-07-10,15.06547905551433
2022-07-11,16.097378344342147
2022-07-12,15.69706944751974
2022-07-13,14.895843084733647
2022-07-14,14.828624991917817
2022-07-15,14.253756022214331
2022-07-16,13.903058168169483
2022-07-17,14.060792694933737
2022-07-18,14.954336472494855
2022-07-19,13.41017198495432
2022-07-20,13.941736604186792
2022-07-21,14.366720889246084
2022-07-22,12.969103547330867
2022-07-23,12.637002829824507
2022-07-24,14.593194212844422
2022-07-25,13.742406828809706
2022-07-26,13.118998557206051
2022-07-27,14.501874699415092
2022-07-28,14.319659123137312
2022-07-29,14.707644923195291
2022-07-30,14.187938519450384
2022-07-31,16.04383120271146
2022-08-01,13.62114806603433
2022-08-02,14.639174668525618
2022-08-03,14.410676215425719
2022-08-04,12.560817019187088
2022-08-05,12.904128903965777
2022-08-06,13.930320766589785
2022-08-07,12.121324185468001
